0.8,256,0.1,0.8775,0.88,0.8825,0.88375,0.8725,0.8775,0.88,0.8825,0.88,0.8725
0.8,256,0.5,0.8825,0.88,0.87375,0.8775,0.87875,0.8775,0.87125,0.87375,0.87125,0.87625
0.8,256,0.8,0.875,0.88,0.88125,0.88625,0.87875,0.87625,0.88625,0.88,0.88375,0.87375
0.8,256,1.0,0.885,0.87375,0.87625,0.8725,0.87875,0.87875,0.88125,0.8825,0.88,0.8825
0.8,256,2.0,0.87875,0.89125,0.8825,0.89125,0.88625,0.8875,0.88125,0.87875,0.87625,0.87375
0.8,256,3.0,0.8675,0.87625,0.86875,0.8825,0.87875,0.88625,0.88375,0.8775,0.87875,0.87625
0.8,256,4.0,0.87125,0.87625,0.875,0.87625,0.885,0.88625,0.88375,0.885,0.8875,0.885
0.8,256,8.0,0.87125,0.87375,0.88375,0.8825,0.8775,0.885,0.88375,0.87875,0.87625,0.87625
0.8,512,0.1,0.87875,0.88,0.8825,0.885,0.8775,0.8775,0.87625,0.88,0.88125,0.88625
0.8,512,0.5,0.8725,0.875,0.84375,0.8775,0.88125,0.88375,0.87125,0.8775,0.88375,0.875
0.8,512,0.8,0.88,0.87625,0.88125,0.8775,0.87875,0.88125,0.87625,0.8875,0.885,0.88375
0.8,512,1.0,0.86875,0.88375,0.855,0.87,0.875,0.8825,0.87875,0.875,0.875,0.8725
0.8,512,2.0,0.87375,0.84625,0.87,0.87125,0.88,0.88,0.87125,0.8725,0.87625,0.885
0.8,512,3.0,0.855,0.855,0.88,0.87125,0.8825,0.875,0.87875,0.8825,0.8775,0.8725
0.8,512,4.0,0.8825,0.87375,0.88375,0.8725,0.88125,0.88125,0.87625,0.8875,0.885,0.8825
0.8,512,8.0,0.87125,0.87875,0.8725,0.8825,0.8825,0.885,0.8725,0.88625,0.8825,0.88125
0.8,1024,0.1,0.87375,0.88125,0.87,0.86375,0.87625,0.8725,0.87375,0.87,0.8725,0.87625
0.8,1024,0.5,0.87375,0.87125,0.875,0.8825,0.89,0.88625,0.88625,0.88125,0.8875,0.8925
0.8,1024,0.8,0.86875,0.8675,0.865,0.86625,0.8725,0.875,0.87375,0.87375,0.8725,0.8725
0.8,1024,1.0,0.87125,0.8675,0.875,0.8775,0.86875,0.8725,0.8775,0.88125,0.8725,0.8775
0.8,1024,2.0,0.87875,0.87625,0.86625,0.87875,0.87125,0.87625,0.88125,0.87,0.8725,0.88
0.8,1024,3.0,0.86875,0.855,0.87375,0.87875,0.87125,0.87875,0.875,0.87875,0.87875,0.87875
0.8,1024,4.0,0.8625,0.86625,0.87,0.87,0.87,0.8775,0.87875,0.8825,0.8825,0.865
0.8,1024,8.0,0.8675,0.86875,0.87875,0.87375,0.87,0.8775,0.87375,0.8775,0.8725,0.88125
